file_name,x_min,y_min,x_max,y_max,bbox_label
C:/Users/User/Desktop/AAR/seed/GoodSeed/SAM_7379.jpg,458,2190,698,2449,GOOD
C:/Users/User/Desktop/AAR/seed/GoodSeed/SAM_7379.jpg,938,2164,1235,2440,GOOD
C:/Users/User/Desktop/AAR/seed/GoodSeed/SAM_7379.jpg,1458,2189,1698,2473,GOOD
C:/Users/User/Desktop/AAR/seed/GoodSeed/SAM_7379.jpg,1905,2229,2185,2481,GOOD
C:/Users/User/Desktop/AAR/seed/GoodSeed/SAM_7379.jpg,2384,2218,2643,2506,GOOD
C:/Users/User/Desktop/AAR/seed/GoodSeed/SAM_7379.jpg,2814,2172,3102,2514,GOOD
C:/Users/User/Desktop/AAR/seed/GoodSeed/SAM_7379.jpg,3351,2190,3617,2490,GOOD
C:/Users/User/Desktop/AAR/seed/GoodSeed/SAM_7379.jpg,3902,2159,4204,2420,GOOD
C:/Users/User/Desktop/AAR/seed/GoodSeed/SAM_7379.jpg,4399,2189,4680,2457,GOOD
C:/Users/User/Desktop/AAR/seed/GoodSeed/SAM_7379.jpg,5052,2136,5308,2451,GOOD
C:/Users/User/Desktop/AAR/Current Input/1.jpg,428,1845,833,2128,BAD
C:/Users/User/Desktop/AAR/Current Input/1.jpg,910,1845,1246,2135,BAD
C:/Users/User/Desktop/AAR/Current Input/1.jpg,1307,1829,1652,2150,BAD
C:/Users/User/Desktop/AAR/Current Input/1.jpg,1812,1814,2149,2120,BAD
C:/Users/User/Desktop/AAR/Current Input/1.jpg,2301,1753,2661,2089,BAD
C:/Users/User/Desktop/AAR/Current Input/1.jpg,2753,1738,3089,2059,BAD
C:/Users/User/Desktop/AAR/Current Input/1.jpg,3250,1829,3532,2105,BAD
C:/Users/User/Desktop/AAR/Current Input/1.jpg,3670,1799,4045,2166,BAD
C:/Users/User/Desktop/AAR/Current Input/1.jpg,4198,1760,4549,2043,BAD
C:/Users/User/Desktop/AAR/Current Input/1.jpg,4611,1753,4993,2051,BAD
C:/Users/User/Desktop/AAR/Current Input/1.jpg,428,1845,833,2128,BAD
